grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per	olaph_llm	byt5	olaph_llm_per	byt5_per
'n	n	n	ɛn	ʊn	dict	[]	0.0	0.5	0.5	n	ɛn	0.0	0.5
'ne	nə	nə	ne	mnə	dict	[]	0.0	0.5	0.3333333333333333	n	ni	1.0	0.5
'nem	nəm	nəm	nem	inəm	compound	ne|m	0.0	0.3333333333333333	0.25	nəm	nɛm	0.0	0.3333333333333333
'nen	nən	nən	nen	inən	dict	[]	0.0	0.3333333333333333	0.25	nən	nɛn	0.0	0.3333333333333333
'ner	nɐ	nɐ	neɾ	inɐ	dict	[]	0.0	0.6666666666666666	0.3333333333333333	nɐ	nɜ	0.0	0.5
'türlich	tyːɐlɪc	tyɐlɪc	tyɾlɪc	ʃtʏʁlɪc	compound	tür|lich	0.0	0.16666666666666666	0.42857142857142855	tʏʁlɪç	tyɾlɪtʃ	0.5	0.42857142857142855
A	ʔaː	a	ɑ	a	dict	[]	0.0	1.0	0.0	a	eɪ	0.0	1.0
AAD	aːʔaːdeː	aade	ɑt	at	abbr	[]	0.0	2.0	1.5	aade	ɑɛ	0.0	2.0
ABC	aːbetseː	abetse	apk	apk	abbr	[]	0.0	1.6666666666666667	1.6666666666666667	abet͡se	eɪbisi	0.14285714285714285	0.8333333333333334
ADHS	aːdeːhaːʔɛs	adehaɛs	aths	ats	abbr	[]	0.0	1.0	1.6666666666666667	adehaɛs	ɑdeɛs	0.0	0.6
ALG	aːʔɛlɡeː	aɛlɡe	alk	alk	abbr	[]	0.0	1.0	1.0	aɛlɡe	ælɡ	0.0	1.0
Aa	ʔaʔa	aa	ɑ	a	dict	[]	0.0	2.0	1.0	a	ɑ	1.0	2.0
Aachen	aːxən	axn	ɑxən	aχən	dict	[]	0.3333333333333333	0.25	0.25	axn̩	ɑçən	0.5	0.5
Aachener	aːxənɐ	axənɐ	ɑxənɜ	aaxənɐ	dict	[]	0.0	0.4	0.16666666666666666	axənɐ	ɑtʃənɜ	0.0	0.6666666666666666
Aachenerin	aːxənəʁɪn	axənəʁɪn	ɑxənərɪn	aaxənɐɪn	dict	[]	0.0	0.25	0.375	axənəʁɪn	ɑtʃənɛrɪn	0.0	0.5555555555555556
Aake	aːkə	akə	ɑkə	aakə	dict	[]	0.0	0.3333333333333333	0.25	akə	ɑkə	0.0	0.3333333333333333
Aakerbeere	aːkɐbeːʁə	okɐbeʁə	ɑkɜberə	aakɛʁbəɐə	dict	[]	0.14285714285714285	0.42857142857142855	0.5555555555555556	akaʁbeʁə	ɑkɜberə	0.25	0.42857142857142855
Aal	aːl	al	ɑl	al	dict	[]	0.0	0.5	0.0	al	ɑl	0.0	0.5
Aalauge	aːlaʊɡə	alaʊɡə	ɑlaʊɡə	aalaogə	compound	aal|auge	0.0	0.16666666666666666	0.42857142857142855	alaʊ̯ɡə	ɑlaʊdʒ	0.14285714285714285	0.5
Aale	ʔaːlə	alə	ɑlə	alə	dict	[]	0.0	0.3333333333333333	0.0	alə	ɑlə	0.0	0.3333333333333333
Aalen	aːlən	alən	ɑlən	aalən	dict	[]	0.0	0.25	0.2	alən	ɑlən	0.0	0.25
Aales	ʔaːləs	aləs	ɑləs	aləs	dict	[]	0.0	0.25	0.0	aləs	ɑləs	0.0	0.25
Aalfang	ɑːlfaŋ	alfaŋ	ɑlfaŋ	aalfaŋ	dict	[]	0.2	0.0	0.3333333333333333	alfaŋ	ɑlfaŋ	0.2	0.0
Aalfell	aːlfɛl	alfɛl	ɑlfɛl	aalfɛll	compound	aal|fell	0.0	0.2	0.2857142857142857	alfɛl	ɑlfɛl	0.0	0.2
Aalfett	aːlfɛt	alfɛt	ɑlfɛt	aalfkɛt	dict	[]	0.0	0.2	0.2857142857142857	alfɛt	ɑlfɛt	0.0	0.2
Aalfischer	aːlfɪʃɐ	alfɪʃɐ	ɑlfɪʃɜ	aalfɪʃɐ	dict	[]	0.0	0.3333333333333333	0.14285714285714285	alfɪʃɐ	ɑlfɪʃɚ	0.0	0.3333333333333333
Aalhaut	aːlhaʊt	alhaʊt	ɑlhaʊt	aalaot	dict	[]	0.0	0.16666666666666666	0.5	alhaʊ̯t	ɑlhaʊt	0.14285714285714285	0.16666666666666666
Aalkorb	aːlkɔʁp	alkɔʁp	ɑlkɔɾp	aalkɔʁp	dict	[]	0.0	0.3333333333333333	0.14285714285714285	alkɔʁp	ɑlkɔrb	0.0	0.5
Aalleiter	aːllaɪtɐ	allaɪtɐ	ɑlaɪtɜ	aallaetɐ	dict	[]	0.0	0.5	0.25	allaɪ̯tɐ	ɑlaɪtɜ	0.125	0.5
Aalmolch	aːlmɔlc	almɔlc	ɑlmɔlc	aalmɔlts	dict	[]	0.0	0.16666666666666666	0.375	almɔlç	ɑlmɒltʃ	0.16666666666666666	0.5714285714285714
Aalmutter	aːlmʊtɐ	almʊtɐ	ɑlmʊtɜ	aalmʊtɐ	dict	[]	0.0	0.3333333333333333	0.14285714285714285	almʊtɐ	ɑlmʌtɜ	0.0	0.5
Aalmuttern	aːlmʊtɐn	almʊtɐn	ɑlmʊtɜn	aalmʊtɛʁn	dict	[]	0.0	0.2857142857142857	0.3333333333333333	almʊtɐn	ɑlmʌtɜn	0.0	0.42857142857142855
Aalquappe	aːlkvapə	alkvapə	ɑlkvapə	aalkvuappə	dict	[]	0.0	0.14285714285714285	0.3	alkvapə	ɑlkwapə	0.0	0.2857142857142857
Aalraupe	aːlʁaʊpə	alʁaʊpə	ɑlraʊpə	aalʁaopə	dict	[]	0.0	0.2857142857142857	0.25	alʁaʊ̯pə	ɑlraʊpə	0.125	0.2857142857142857
Aalreuse	aːlʁɔɪzə	alʁɔɪzə	ɑlrøzə	aalʁɔɔʏzə	dict	[]	0.0	0.6666666666666666	0.3333333333333333	alʁuzə	ɑlrɪusə	0.3333333333333333	0.7142857142857143
Aalreusen	aːlʁɔɪzn	alʁɔɪzn	ɑlrøzən	aalʁɔɔʏzən	dict	[]	0.0	0.7142857142857143	0.4	alʁɔɪ̯zn̩	ɑlrɪuzən	0.2222222222222222	0.625
Aalräucherei	aːlʁɔɪcəʁaɪ	alʁɔɪcəʁaɪ	ɑlrɔøceraɪ	aalʁɔɔʏcɐae	dict	[]	0.0	0.5	0.5454545454545454	alʁɔɪ̯çəʁaɪ̯	ɑlrɔʃəreɪ	0.25	0.6666666666666666
Aalräuchereien	aːlʁɔɪcəʁaɪən	alʁɔɪcəʁaɪən	ɑlrɔøceraɪən	aalʁɔɔʏcɐəiən	dict	[]	0.0	0.4166666666666667	0.5384615384615384	alʁɔɪ̯çəʁaɪ̯ən	ɑlrɔʃɪreɪən	0.21428571428571427	0.6363636363636364
Aals	ʔaːls	als	ɑls	als	dict	[]	0.0	0.3333333333333333	0.0	als	ɑls	0.0	0.3333333333333333
Aalspeer	aːlʃpeːɐ	alʃpeɐ	ɑlspeɾ	aalspeɐ	dict	[]	0.0	0.5	0.2857142857142857	alʃpeɐ̯	ɑlspɪɹ	0.14285714285714285	0.6666666666666666
Aalstechen	aːlʃtɛcn	alʃtɛcn	ɑlstɛcən	aalstɛcən	dict	[]	0.0	0.375	0.3333333333333333	alʃtɛçn̩	ɑlstɛçən	0.25	0.5
Aalstrich	aːlʃtʁɪc	alʃtʁɪc	ɑlʃtɾɪc	aalstʁɪc	dict	[]	0.0	0.2857142857142857	0.25	alʃtʁɪç	ɑlstɹɪtʃ	0.14285714285714285	0.625
Aalsuppe	aːlzʊpə	alzʊpə	ɑlzʊpə	aalzʊppə	dict	[]	0.0	0.16666666666666666	0.25	alzʊpə	ɑlsʌpə	0.0	0.5
Aaltierchen	aːltiːɐcən	altiɐcən	ɑltiɾcən	aaltiʁcən	dict	[]	0.0	0.25	0.2222222222222222	altiɐ̯çən	ɑltiɜtʃən	0.2222222222222222	0.4444444444444444
Aar	aːɐ	aɐ	ɑɾ	aa	dict	[]	0.0	1.0	0.5	aɐ̯	ɑr	0.3333333333333333	1.0
Aargau	aːɐɡaʊ	aɐɡaʊ	ɑɾɡaʊ	aaʁgao	dict	[]	0.0	0.4	0.6666666666666666	aɐ̯ɡaʊ̯	ɑrɡaʊ	0.2857142857142857	0.4
Aas	aːs	aas	ɑs	as	dict	[]	0.3333333333333333	0.5	0.0	as	ɑs	0.0	0.5
Aase	aːzə	azə	ɑzə	aazə	dict	[]	0.0	0.3333333333333333	0.25	azə	ɑsə	0.0	0.6666666666666666
Aaser	aːzɐ	azɐ	ɑzɜ	aazɐ	dict	[]	0.0	0.6666666666666666	0.25	azɐ	ɑsɜ	0.0	1.0
Aasfresser	aːsfʁɛsɐ	asfʁɛsɐ	ɑsfrɛsɜ	aasfʁɛszɐ	dict	[]	0.0	0.42857142857142855	0.2222222222222222	asfʁɛsɐ	ɑsfrɛsɜ	0.0	0.42857142857142855
Aasjäger	aːsjɛːɡɐ	asjɛɡɐ	ɑsjɛɡɜ	aasjɛgɐ	dict	[]	0.0	0.3333333333333333	0.2857142857142857	asjɛɡɐ	ɑʃɛɡɜ	0.0	0.8
Aasjägerei	aːsjɛːɡəʁaɪ	asjɛɡəʁaɪ	ɑsjɛɡeraɪ	aasjɛgɐae	dict	[]	0.0	0.3333333333333333	0.5555555555555556	asjɛɡəʁaɪ̯	ɑʃɛɡəreɪ	0.1	0.625
Aaskäfer	aːskɛːfɐ	askɛfɐ	ɑskɛfɜ	aaskɛfɐ	dict	[]	0.0	0.3333333333333333	0.14285714285714285	askɛfɐ	ɑskɛfɜ	0.0	0.3333333333333333
Aasseite	aːszaɪtə	aszaɪtə	ɑsaɪtə	aaszəitə	dict	[]	0.0	0.3333333333333333	0.375	aszaɪ̯tə	ɑsaɪtə	0.125	0.3333333333333333
Aasvogel	aːsfoːɡl	asfoɡl	ɑsfoɡəl	aasvogəl	dict	[]	0.0	0.2857142857142857	0.5	asfoɡl̩	ɑsvodʒəl	0.14285714285714285	0.625
Abartung	apʔaːɐtʊŋ	apaɐtʊŋ	ɑbaɾtʊŋ	apaʁtʊŋ	dict	[]	0.0	0.42857142857142855	0.14285714285714285	apaɐ̯tʊŋ	ɐbɑɾtʊŋ	0.125	0.5714285714285714
Abbaggerung	apbaɡəʀʊŋ	apbaɡəʁʊŋ	abaɡərʊŋ	apbagɐʊŋ	dict	[]	0.1111111111111111	0.25	0.375	apbaɡəʁʊŋ	abaɡərʌŋ	0.1111111111111111	0.375
Abbaubarkeit	apbaʊbaːɐkaɪt	apbaʊbaɐkaɪt	abaʊbaɾkaɪt	apbaobaʁkəit	dict	[]	0.0	0.18181818181818182	0.3333333333333333	apbaʊ̯baɐ̯kaɪ̯t	abaʊbɑkaɪt	0.2	0.3
Abbauprodukt	apbaʊprodʊkt	apbaʊpʁodʊkt	abaʊpɾodʊkt	apbaopʁodʊkt	dict	[]	0.08333333333333333	0.18181818181818182	0.16666666666666666	apbaʊ̯pʁodʊkt	abaʊpɹədʊkt	0.15384615384615385	0.2727272727272727
Abbeissen	apbaɪsən	apbaɪsən	apbaɪsən	apfaeszən	all_lang	[]	0.0	0.0	0.3333333333333333	apbaɪ̯sn̩	abeɪsən	0.3333333333333333	0.2857142857142857
Abberufung	apbəʁuːfʊŋ	apbəʁufʊŋ	apbərufʊŋ	apbəʁufʊŋ	dict	[]	0.0	0.1111111111111111	0.0	apbəʁufʊŋ	abɪɹufʌŋ	0.0	0.5
