grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per	olaph_llm	byt5	olaph_llm_per	byt5_per
'Murica	mɝəkə	mʊɹikɑ	mjʊəɹɪkə	mʊɹɪkə	compound	muri|ca	0.6666666666666666	0.5	0.5	mʊɹɪkə	mjʊɹɪkə	0.5	0.5714285714285714
'dswounds	dzwuːndz	dswəndz	diswəndz	dswəndz	compound	d|swound|s	0.2857142857142857	0.375	0.2857142857142857	diɛsdəbəjuəʊndz	dswəndz	0.6666666666666666	0.2857142857142857
'emselves	əmsɛlvz	ɛmzɛlvz	ɛmsɛlvz	ɛmzəlvz	compound	ems|elves	0.2857142857142857	0.14285714285714285	0.42857142857142855	ɪmsɛlvz	ɛmsɛlvz	0.14285714285714285	0.14285714285714285
'ganst	ɡænst	ɡænzt	ɡanst	ɡænst	compound	gans|t	0.2	0.2	0.0	gænst	ɡænst	0.2	0.0
'll	əl	ll	ɛlɛl	l	compound	l|l	0.5	0.75	1.0	əl	li	0.0	1.0
'sfar	sfɑːɹ	zfɑ	ɛsfɑ	sfɚ	compound	s|far	0.6666666666666666	0.5	0.6666666666666666	ɛsfɑɹ	sfɑ	0.2	0.3333333333333333
'swounds	zwundz	swəndz	swəndz	swəndz	compound	swound|s	0.3333333333333333	0.3333333333333333	0.3333333333333333	swundz	swəndz	0.16666666666666666	0.3333333333333333
'tisn't	tɪznt	tɪznt	tɪsənt	tɪsnɪt	compound	tis|nt	0.0	0.3333333333333333	0.3333333333333333	tɪsənt	tɪzənt	0.3333333333333333	0.16666666666666666
'tshall	tʃəl	tʃæl	tiʃɔl	ʃəl	compound	t|shall	0.25	0.4	0.3333333333333333	tʃɔl	tʃɔl	0.25	0.25
'twasn't	twɒznt	twəznt	twɒsənt	twɔsnɪt	compound	twas|nt	0.16666666666666666	0.2857142857142857	0.42857142857142855	twʌz.ənt	twɒzənt	0.375	0.14285714285714285
'ud	əd	əd	ʌd	ʌd	compound	u|d	0.0	0.5	0.5	əd	ʌd	0.0	0.5
'ull	əl	əll	ʌl	ʌl	compound	ul|l	0.3333333333333333	0.5	0.5	ʌl	ʌl	0.5	0.5
'ullo	ʌləʊ	əlləʊ	ʌləʊ	ʌləʊ	compound	ul|lo	0.4	0.0	0.0	ʌləʊ	ʌləʊ	0.0	0.0
Abbottabad	æbətəbɑːd	æbətəbɑd	abətəbad	æbɑtəbəd	compound	abbott|abad	0.0	0.25	0.25	əbɒtəbæd	əbɒtəbæd	0.375	0.375
Abcde	æbsədiː	eɪbisidə	əbkdɛ	əbkd	compound	abc|de	0.625	0.8	1.0	æbsid	æbkdi	0.4	0.4
Abergele	æbəɹɡɛli	æbɝɡɛli	abədʒɛl	əbɚɡl	compound	aberg|el|e	0.2857142857142857	0.5714285714285714	1.0	æbəɹd͡ʒɛl	æbədʒil	0.4444444444444444	0.5714285714285714
Abydene	æbɪdiːn	əbaɪdin	əbaɪdin	əbaɪdɪn	compound	aby|dene	0.2857142857142857	0.2857142857142857	0.42857142857142855	əbaɪdɪn	eɪbɪdin	0.42857142857142855	0.2857142857142857
Acarus	ækəɹəs	ækəɹəs	əkɑɹəs	əkɑɹəs	compound	aca|rus	0.0	0.3333333333333333	0.3333333333333333	əkəɹəs	ækəɹəs	0.16666666666666666	0.0
Achillean	ækɪliːən	əkɪliən	ətʃɪliən	ætʃɪlən	compound	achillea|n	0.14285714285714285	0.375	0.42857142857142855	əʃɪliən	ætʃɪliən	0.2857142857142857	0.25
Adamsville	ædəmzvɪl	ædəmzvɪl	adəmzvɪl	ædæmzvɪl	compound	adams|ville	0.0	0.125	0.125	ædəmzvɪl	ædəmsvɪl	0.0	0.125
Aegriff	eɪɡɹɪf	eɪɡɹɪf	iɡɹɪf	eɪɡɹɪf	compound	ae|griff	0.0	0.4	0.0	iɡɹɪf	eɪɡɹɪf	0.4	0.0
Aethelred	æθəlɹɛd	əɛθəlɹɛd	iθɛlɹɪd	eɪθɛlɹɪd	compound	a|ethelred	0.25	0.42857142857142855	0.5	eɪθəlɹɛd	iθəlɹd	0.25	0.3333333333333333
Africo	æfɹɪkəʊ	æfɹikəʊ	afɹɪkəʊ	əfɹɪkəʊ	compound	af|rico	0.14285714285714285	0.14285714285714285	0.14285714285714285	æfɹɪkəʊ	æfɹɪkəʊ	0.0	0.0
Agenor	ədʒiːnɔː	eɪdʒənɔ	eɪdʒɛnə	ɪdʒɛnɚ	compound	agen|or	0.42857142857142855	0.5714285714285714	0.5	əd͡ʒɛnɚ	ædʒənə	0.42857142857142855	0.5
Aiea	aɪeɪə	eɪaɪi	eɪəɹə	eɪi	compound	ai|ea	0.6	0.6	1.0	aɪiə	aɪə	0.5	0.6666666666666666
Aitkin	eɪkɪn	eɪtkɪn	eɪtkɪn	ɛtkɪn	compound	ait|kin	0.16666666666666666	0.16666666666666666	0.4	aɪtkɪn	eɪtkɪn	0.3333333333333333	0.16666666666666666
Ajeanie	ədʒiːni	ədʒini	eɪdʒəni	eɪʒəni	compound	a|jeanie	0.0	0.42857142857142855	0.5	əd͡ʒini	eɪdʒəni	0.14285714285714285	0.42857142857142855
Akwesasne	ækwəsæsneɪ	ækwɛsæzni	akwɪsasnɪ	ækwɛsəsn	compound	ak|wes|as|ne	0.4444444444444444	0.4444444444444444	0.5	ækwəsæsneɪ	ækwɪseɪn	0.0	0.625
Alces	ælsiːz	ælkiz	alsɪz	əlsz	compound	alc|es	0.2	0.4	0.5	ælsɪs	ɒlsɪz	0.4	0.4
Alcmena	ælkmiːnə	ælkminə	alkminə	əlkminə	compound	alc|mena	0.0	0.14285714285714285	0.14285714285714285	ælməniə	ælkminə	0.42857142857142855	0.0
Alcmene	ælkmiːni	ælkmin	alkmin	əlkmin	compound	alc|mene	0.16666666666666666	0.3333333333333333	0.3333333333333333	ælkmin	ælkmin	0.16666666666666666	0.16666666666666666
Alcyone	ælsaɪəni	ælkjɒni	alsɪəʊn	əlsiəʊn	compound	alc|yon|e	0.5714285714285714	0.5714285714285714	0.7142857142857143	ælsaɪwʌn	ælsɪəʊn	0.375	0.42857142857142855
Aleister	ælistə	əlistɝ	əlaɪstə	əlistɚ	compound	a|leister	0.3333333333333333	0.42857142857142855	0.3333333333333333	əleɪstɚ	əlaɪstə	0.5714285714285714	0.42857142857142855
Algic	ælɡɪk	ælgɪk	aldʒɪk	ældʒɪk	compound	alg|ic	0.2	0.5	0.3333333333333333	ælɡɪk	ældʒɪk	0.0	0.3333333333333333
Algiz	ɑlɡiːz	ælɡɪz	aldʒɪz	ældʒɪz	compound	al|giz	0.4	0.6666666666666666	0.6666666666666666	ælgɪz	ælɡɪz	0.6	0.4
