grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per	olaph_llm	byt5	olaph_llm_per	byt5_per
'Murica	mɝəkə	mʊɹikɑ	mjʊɹɹɪkə	mʊɹɪkə	compound	muri|ca	0.6666666666666666	0.625	0.5	mʊɹɪkə	mɝikə	0.5	0.2
'akikiki	ɑkɪkiːki	ɑkikiki	əkɪkɪki	ækɪkɪki	compound	aki|kiki	0.14285714285714285	0.2857142857142857	0.2857142857142857	ɑkɪki	əkɪkiki	0.4	0.14285714285714285
'dswounds	dzwundz	dswənds	diswəndz	dswəndz	compound	d|swound|s	0.42857142857142855	0.375	0.2857142857142857	diɛsdəbəjuəʊndz	dɪswəndz	0.6666666666666666	0.375
'emselves	əmsɛlvz	ɛmzɛlvz	ɛmsɛlvz	ɛmzəlvz	compound	ems|elves	0.2857142857142857	0.14285714285714285	0.42857142857142855	ɪmsɛlvz	ɛmsɛlvz	0.14285714285714285	0.14285714285714285
'll	əl	ll	ɛlɛl	l	compound	l|l	0.5	0.75	1.0	əl	li	0.0	1.0
'sfar	sfɑːɹ	sfɑ	ɛsfɑɹ	sfɚ	compound	s|far	0.3333333333333333	0.2	0.6666666666666666	ɛsfɑɹ	sfɑɹ	0.2	0.0
'splode	sploʊd	sfləʊd	spləʊd	spləʊd	compound	sp|lode	0.16666666666666666	0.0	0.0	spləʊd	spləʊd	0.0	0.0
'swounds	zwundz	swənds	swəndz	swəndz	compound	swound|s	0.5	0.3333333333333333	0.3333333333333333	swundz	swəndz	0.16666666666666666	0.3333333333333333
'tisn't	tɪznt	tɪznt	tɪsənt	tɪsnɪt	compound	tis|nt	0.0	0.3333333333333333	0.3333333333333333	tɪsənt	tɪzənt	0.3333333333333333	0.16666666666666666
'tshall	tʃəl	tʃæl	tiʃɔl	ʃəl	compound	t|shall	0.25	0.4	0.3333333333333333	tʃɔl	tʃɔl	0.25	0.25
'ud	əd	əd	ʌd	ʌd	compound	u|d	0.0	0.5	0.5	əd	əd	0.0	0.0
'ull	əl	əll	ʌl	ʌl	compound	ul|l	0.3333333333333333	0.5	0.5	ʌl	əl	0.5	0.0
AIgiarism	eɪaɪdʒəɹɪzm	eɪaɪʒɪɝism	əɪdʒɚɹɪzəm	eɪɡɪɹɪzəm	compound	ai|gi|aris|m	0.5	0.5	0.5555555555555556	eɪd͡ʒɪɹɪzəm	eɪdʒɝɪzəm	0.45454545454545453	0.5555555555555556
Abbottabad	æbətəbɑːd	æbətəbɑd	æbəɾəbɑd	æbɑtəbəd	compound	abbott|abad	0.0	0.125	0.25	əbɒtəbæd	əbɑtəbæd	0.375	0.375
Abcde	æbsədiː	eɪbisidə	əbkdɛ	əbkd	compound	abc|de	0.625	0.8	1.0	æbsid	æbsdi	0.4	0.2
Abergele	æbəɹɡɛli	æbɝɡɛli	æbɚdʒɛl	əbɚɡl	compound	aberg|el|e	0.2857142857142857	0.5714285714285714	1.0	æbəɹd͡ʒɛl	æbɝdʒil	0.4444444444444444	0.7142857142857143
Abrus	eɪbɹəs	æbɹəs	əbɹuz	əbɹəs	compound	ab|rus	0.4	0.8	0.4	əbɹəs	eɪbɹəs	0.4	0.0
Abudefduf	æbudɛfdəf	əbʌdɛfduf	əbjudɪfdʌf	əbudfdʌf	compound	abud|ef|du|f	0.3333333333333333	0.4	0.375	æbudəfduf	əbudɪfdəf	0.2222222222222222	0.2222222222222222
Abydene	æbɪdiːn	əbaɪdin	əbaɪdin	əbaɪdɪn	compound	aby|dene	0.2857142857142857	0.2857142857142857	0.42857142857142855	əbaɪdɪn	ɛbədin	0.42857142857142855	0.3333333333333333
Acalepha	ækəlifə	ækəlɜfə	əkælɛfə	ækəlɛfə	compound	acaleph|a	0.14285714285714285	0.42857142857142855	0.14285714285714285	əkəlɛfə	ækəlɛfə	0.2857142857142857	0.14285714285714285
Acanthocereus	əkænθoʊsɪɹiəs	əkænθəʊsɛɹɪəs	əkənθəʊsɹɪəs	əkænθəʊsɚjuz	compound	acanth|o|cereus	0.15384615384615385	0.25	0.4166666666666667	əkæn.θəsɪɹ.i.əs	əkænθəsɪɹiəs	0.26666666666666666	0.08333333333333333
Acanthopteri	ækənθɑptəɹi	ækənθɑptɜaɪ	əkænθəptɚɹi	əkænθɑptɚi	compound	acanthopt|er|i	0.2727272727272727	0.36363636363636365	0.4	əkæn.θəptɝ.i	ɑkɑnθəʊptɛɹi	0.5	0.4166666666666667
Acanthopterygii	ækənθɑptəɹɪdʒiaɪ	ækənθɑptɛɹɪʒɪaɪ	əkænθəptɚɹɪdʒɪaɪ	əkænθɑptɚɪdʒi	compound	acanthopt|ery|gi|i	0.2	0.3125	0.46153846153846156	əkæn.θəptɝ.ə.d͡ʒiaɪ	əkænθəptɛɹədʒi	0.47368421052631576	0.5
Acarus	ækəɹəs	ækəɹəs	əkɑɹɹəs	əkɑɹəs	compound	aca|rus	0.0	0.42857142857142855	0.3333333333333333	əkəɹəs	ækɝəs	0.16666666666666666	0.4
Achillean	ækɪliːən	əkɪliən	ətʃɪliən	ætʃɪlən	compound	achillea|n	0.14285714285714285	0.375	0.42857142857142855	əʃɪliən	ətʃɪliən	0.2857142857142857	0.375
Actium	æktiəm	æktiəm	æktiəm	æktiəm	compound	act|ium	0.0	0.0	0.0	æktɪəm	ækʃəm	0.16666666666666666	0.4
Adjara	ədʒɑːɹə	æddʒɑɹə	ədʒɑɹɹə	ɑjɑɹə	compound	ad|jara	0.2857142857142857	0.14285714285714285	0.6	ədʒɑɹə	ɑdjɑɹə	0.0	0.3333333333333333
Aegriff	eɪɡɹɪf	eɪɡɹɪf	iɡɹɪf	eɪɡɹɪf	compound	ae|griff	0.0	0.4	0.0	iɡɹɪf	eɪɡɹɪf	0.4	0.0
Aelita	aɪlitə	eɪlitə	eɪliɾə	eɪlɪtə	compound	ae|lita	0.16666666666666666	0.3333333333333333	0.3333333333333333	aɪlɪtə	ɛlitə	0.16666666666666666	0.4
Aethelred	æθəlɹɛd	əɛθəlɹɛd	iθɛlɹɪd	eɪθɛlɹɪd	compound	a|ethelred	0.25	0.42857142857142855	0.5	eɪθəlɹɛd	iθəlɹd	0.25	0.3333333333333333
Agenor	ədʒiːnɔː	eɪdʒənɔ	eɪdʒɛnɚ	ɪdʒɛnɚ	compound	agen|or	0.42857142857142855	0.5714285714285714	0.5	əd͡ʒɛnɚ	ædʒənɝ	0.42857142857142855	0.5
Aiea	aɪeɪə	eɪaɪi	eɪəə	eɪi	compound	ai|ea	0.6	0.75	1.0	aɪiə	aɪiə	0.5	0.5
Aintree	eɪntɹiː	eɪntɹi	eɪntɹi	eɪntɹi	compound	aint|ree	0.0	0.0	0.0	eɪntɹi	eɪntɹi	0.0	0.0
Aitkin	eɪkɪn	eɪtkɪn	eɪtkɪn	ɛtkɪn	compound	ait|kin	0.16666666666666666	0.16666666666666666	0.4	aɪtkɪn	eɪtkɪn	0.3333333333333333	0.16666666666666666
Ajeanie	ədʒiːni	ədʒini	eɪdʒəni	eɪʒəni	compound	a|jeanie	0.0	0.42857142857142855	0.5	əd͡ʒini	ədʒini	0.14285714285714285	0.0
Alces	ælsiːz	ælkiz	ælsᵻz	əlsz	compound	alc|es	0.2	0.2	0.5	ælsɪs	ælsɪz	0.4	0.2
Alcmena	ælkmiːnə	ælkminə	ælkminə	əlkminə	compound	alc|mena	0.0	0.0	0.14285714285714285	ælməniə	ælkminə	0.42857142857142855	0.0
Alcmene	ælkmiːni	ælkmin	ælkmin	əlkmin	compound	alc|mene	0.16666666666666666	0.16666666666666666	0.3333333333333333	ælkmin	ælkmin	0.16666666666666666	0.16666666666666666
Alcyone	ælsaɪəni	ælkjɒni	ælsɪəʊn	əlsiəʊn	compound	alc|yon|e	0.5714285714285714	0.42857142857142855	0.7142857142857143	ælsaɪwʌn	ælsiəʊn	0.375	0.5714285714285714
Aldermaston	ɔːldəmɑːstən	ɔldəmæstən	ɔldɚmæstən	ældɚməstən	compound	alder|maston	0.1	0.2	0.3	ɔldəmæstən	ɔldɝməstən	0.1	0.2
Aldershot	ɔːldəɹʃɒt	ɔldəzhɒt	ɔldɚʃɑt	ældɚʃət	compound	alders|hot	0.25	0.42857142857142855	0.5714285714285714	ɔldəʃɒt	ɔldɝʃɑt	0.14285714285714285	0.42857142857142855
Algiz	ɑlɡiːz	ælgɪz	ældʒɪz	ældʒɪz	compound	alg|iz	0.6	0.6666666666666666	0.6666666666666666	ælgɪz	ælɡɪz	0.6	0.4
Alize	əliz	ɑlizi	əlaɪz	əlaɪz	compound	ali|ze	0.4	0.4	0.4	əlaɪz	əlaɪz	0.4	0.4
Aljunied	ældʒuːnɪd	ældʒunid	əldʒʌnid	əldʒunid	compound	al|ju|nied	0.125	0.375	0.25	ɔld͡ʒunid	ældʒənid	0.3333333333333333	0.25
Allamakee	æləməki	æləmæki	æləmæki	ələmeɪki	compound	allam|akee	0.14285714285714285	0.14285714285714285	0.375	æləməki	æləməki	0.0	0.0
Almiros	ɑlmɪɹɒs	ælmɪɹəʊz	ɔlmiəɹəʊz	ælmɪɹəʊz	compound	al|miros	0.5	0.6666666666666666	0.5	ɑlmɪɹɒs	ælmɝəʊz	0.0	0.7142857142857143
Almondbury	ɑːməndbəɹɪ	ɒlməndbɛɹi	ɔlməndbɛɹi	ælməndbɚi	compound	almond|bury	0.4	0.4	0.5555555555555556	ɒlməndbɛɹi	ɔlməndbɛɹi	0.4	0.4
Almondsbury	ɑːməndzbəɹɪ	ɒlməndzbɛɹi	ɔlməndsbɛɹi	ælməndzbɚi	compound	almonds|bury	0.36363636363636365	0.45454545454545453	0.5	ɒlməndzbəɹi	ɔlməndzbɛɹi	0.2727272727272727	0.36363636363636365
Alnwick	ænɪk	ælnwɪk	əlnwɪk	ælnwɪk	compound	aln|wick	0.3333333333333333	0.5	0.3333333333333333	ælnwɪk	ælnwɪk	0.3333333333333333	0.3333333333333333
Alpish	ælpɪʃ	ælpɪʃ	ælpɪʃ	ælpɪʃ	compound	alp|ish	0.0	0.0	0.0	ælpɪʃ	ælpɪʃ	0.0	0.0
Altess	ɑltɛs	ɑltɛs	ɔltɛs	æltɪs	compound	alt|ess	0.0	0.2	0.4	ɒltɛs	ɔltəs	0.2	0.4
Amalec	æməlɛk	əmɑlɛk	əmeɪlək	əməlɪk	compound	amal|ec	0.3333333333333333	0.5714285714285714	0.3333333333333333	æməlɛk	æməlɛk	0.0	0.0
Amalek	æməlɛk	əmɑlɛk	əmeɪlək	əmɑlɛk	compound	amal|ek	0.3333333333333333	0.5714285714285714	0.3333333333333333	əmeɪlɛk	æməlɛk	0.42857142857142855	0.0
Amalthean	æməlθiːən	æməlθiən	əmælθiən	əmælθən	compound	amalthea|n	0.0	0.25	0.42857142857142855	æmælθiən	æməlθin	0.125	0.14285714285714285
Amaltheian	æməlθiːən	əmɑlθiən	əmælθeɪən	əmælðaɪən	compound	amal|theia|n	0.25	0.4444444444444444	0.5555555555555556	æmælθiən	æməlθaɪən	0.125	0.2222222222222222
Amapá	ɑːməpɑː	ɑməpɑ	æməpɑ	əməp	compound	[]	0.0	0.2	0.5	amapʌ	æməpɑ	0.6	0.2
Amee	eɪmi	eɪmi	æmi	eɪmi	compound	ame|e	0.0	0.6666666666666666	0.0	əmi	æmi	0.6666666666666666	0.6666666666666666
Americanised	æmɛɹɪkənaɪzd	əmɛɹəkənaɪzd	əmɛɹɪkænaɪzd	əmɛɹɪkənɪsd	compound	american|ise|d	0.16666666666666666	0.16666666666666666	0.2727272727272727	əmɛɹɪkənaɪzd	əmɛɹəkənaɪzd	0.08333333333333333	0.16666666666666666
Amerithrax	əmɛɹɪθɹæks	əmɛɹiθɹæks	æmɚɹɪθɹæks	əmɚɪθɹæks	compound	ameri|thrax	0.1	0.2	0.2222222222222222	əmɛɹɪθɹæks	æmɝɪθɹæks	0.0	0.3333333333333333
Ameritrash	əmɛɹɪtɹæʃ	əmɛɹitɹæʃ	æmɚɹɪtɹæʃ	əmɚɪtɹæʃ	compound	ameri|trash	0.1111111111111111	0.2222222222222222	0.25	əmɛɹɪtɹæʃ	æmɝɪtɹæʃ	0.0	0.375
Amfilohia	æmfɪləʊhaɪə	æmfaɪləʊhaɪə	æmfɪləʊhiə	æmfaɪləʊhiə	compound	am|filo|hi|a	0.08333333333333333	0.2	0.2727272727272727	æmfɪləʊhiə	æmfɪləʊhiə	0.2	0.2
Amfilokhia	æmfɪləʊkaɪə	æmfaɪləʊkhaɪə	æmfɪlɑkhiə	æmfɪlɑkiə	compound	am|filo|k|hi|a	0.15384615384615385	0.4	0.4444444444444444	æmfɪlɒkɪə	æmfɪləʊkiə	0.3333333333333333	0.2
Amygism	eɪmidʒɪzəm	eɪmigɪzəm	æmaɪdʒɪzəm	æmɪɡɪzəm	compound	amy|g|ism	0.2222222222222222	0.4	0.625	æmɪd͡ʒɪzəm	ɛmədʒɪzəm	0.4	0.3333333333333333
Anaxarete	ənæksəɹɛti	ænæksæɹɪti	ænəksæɹit	ənæksɚit	compound	anax|arete	0.3	0.5555555555555556	0.5	ænæksəɹit	ænəksɝit	0.3333333333333333	0.75
Andriivka	əndɹiːjɪvkə	ændɹijɪvk	ændɹɪɪvkə	ændɹiɪvkə	compound	and|ri|ivka	0.2222222222222222	0.3333333333333333	0.2222222222222222	ændɹiɪvkə	ændɹiɪvkə	0.2222222222222222	0.2222222222222222
Andriyivka	əndɹiːjɪvkə	ændɹijivkə	ændɹɪjɪvkə	ændɹaɪɪvkə	compound	and|ri|yi|vka	0.2	0.2	0.3	ændɹiɪvkə	ændɹijɪvkə	0.2222222222222222	0.1
Anglophilic	æŋɡləfɪlɪk	æŋɡləʊfɪlɪk	æŋɡləfɪlɪk	æŋɡləfɪlɪk	compound	anglo|philic	0.09090909090909091	0.0	0.0	æŋɡləfɪlɪk	æŋɡləfɪlɪk	0.0	0.0
Anich	ænɪtʃ	ænitʃ	ænɪʃ	ænɪk	compound	ani|ch	0.2	0.25	0.5	ænɪk	ænɪtʃ	0.5	0.0
Ankang	ɑːnkɑŋ	ənkæŋ	æŋkæŋ	æŋkæŋ	compound	an|kang	0.4	0.6	0.6	æŋkæŋ	æŋkæŋ	0.6	0.6
Anling	ɑːnlɪŋ	ənlɪŋ	ænlɪŋ	ænlɪŋ	compound	an|ling	0.2	0.2	0.2	ænlɪŋ	ænlɪŋ	0.2	0.2
Anlu	ɑːnluː	ənlu	ænlu	ənlu	compound	an|lu	0.25	0.25	0.25	ɑnlʊ	ænlu	0.25	0.25
Annam	ænæm	ænəm	ænəm	ænəm	compound	anna|m	0.25	0.25	0.25	ænəm	ænəm	0.25	0.25
Annamite	ænəmaɪt	ænəmaɪt	ænəmaɪt	ænəmɪt	compound	anna|mite	0.0	0.0	0.16666666666666666	ænəmaɪt	ænəmaɪt	0.0	0.0
Anning	ɑːnnɪŋ	ænɪŋ	ænɪŋ	ænɪŋ	compound	ann|ing	0.5	0.5	0.5	ənɪŋ	ænɪŋ	0.5	0.5
Anping	ɑːnpɪŋ	ənpɪŋ	ænpɪŋ	ænpɪŋ	compound	an|ping	0.2	0.2	0.2	ænpɪŋ	ænpɪŋ	0.2	0.2
Anput	ɑːnpʊt	ənpʊt	ænpʊt	ænpət	compound	an|put	0.2	0.2	0.4	ænpʊt	ænpət	0.2	0.4
Anqing	ɑːntʃɪŋ	ənkɪŋ	æŋkɪŋ	æŋkɪŋ	compound	an|qing	0.6	0.8	0.8	æŋkɪŋ	æŋkɪŋ	0.8	0.8
Anthean	ænθiːən	ænθiən	ænθiən	ænθən	compound	anthea|n	0.0	0.0	0.2	ænθiən	ænθiən	0.0	0.0
Antigonish	æntɪɡənɪʃ	æntɪɡəʊniɛseɪtʃ	æntɪɡɑnɪʃ	æntɪɡənɪʃ	compound	antigo|ni|sh	0.4	0.1111111111111111	0.0	æntɪɡənɪʃ	æntɪɡɑnɪʃ	0.0	0.1111111111111111
Antillean	æntɪliən	æntɪliən	æntɪlin	æntɪlən	compound	antill|ean	0.0	0.14285714285714285	0.14285714285714285	æntəlɪən	æntɪlin	0.25	0.14285714285714285
Antiochian	æntiɑkiən	æntiɑkiən	æntɪɑkiən	ænʃətʃiən	compound	antioch|ian	0.0	0.1111111111111111	0.4444444444444444	æntiɒkɪən	æntiəʊkiən	0.2222222222222222	0.2
Antiope	æntaɪəpi	æntiəʊp	æntɪəʊp	æntiəʊp	compound	anti|ope	0.5714285714285714	0.42857142857142855	0.5714285714285714	æntɪəʊp	æntiəʊp	0.42857142857142855	0.5714285714285714
Anxin	ɑːnʃiːn	ənʃɪn	æŋksɪn	ænzɪn	compound	an|xin	0.4	0.8333333333333334	0.6	æŋʃɪn	æŋksɪn	0.6	0.8333333333333334
Anze	ɑːndzʌ	ənzi	ænz	ænz	compound	an|ze	0.75	1.0	1.0	ænzeɪ	ænz	0.8	1.0
Aomen	aʊmən	əəʊmɛn	eɪəmɛn	æmən	compound	a|omen	0.5	0.5	0.25	eɪəmn	əmən	0.6	0.0
Apostolos	əpɒstəlɪs	æpəstələʊz	əpɔstələʊz	əpɑstəʊləʊz	compound	apostol|os	0.5	0.4	0.45454545454545453	əpɒstɒləs	əpɑstələʊs	0.2222222222222222	0.3
Apurímac	ɑpuɹimɑk	ɑpuɹimɑk	əpjʊɹɹɪmæk	əpɚmək	compound	[]	0.0	0.6	0.8333333333333334	əpʊɹɪmæk	æpjɝimæk	0.5	0.5
Aquaforte	ækwəfɔɹt	ækwəfɔɹt	ækwəfoɹɾeɪ	əkwəfɔɹt	compound	aqua|forte	0.0	0.4	0.125	ækwəfɔt	ækwəfɔɹt	0.14285714285714285	0.0
Arabana	ʌɹəbʌnə	æɹəbænə	æɹəbɑnə	ɔɹəbənə	compound	arab|ana	0.2857142857142857	0.2857142857142857	0.2857142857142857	əɹəbænə	ɑɹəbænə	0.2857142857142857	0.2857142857142857
Aras	æɹæs	æɹəs	ɑɹɹəz	ɑɹəz	compound	ara|s	0.25	0.8	0.75	əɹæs	ɑɹəz	0.25	0.75
