grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
AFI	afi	⁠a⁠efe⁠i⁠	ˈafi	afi	abbr	[]	2.000	0.333	0.000
AINE	aine	⁠a⁠⁠i⁠ene⁠e⁠	ˈaɪne	aine	abbr	[]	2.000	0.500	0.000
ANDA	anda	⁠a⁠enede⁠a⁠	ˈanda	anda	abbr	[]	1.750	0.250	0.000
ANP	aenepe	⁠a⁠enepe	ˈamp	anp	abbr	[]	0.333	0.833	0.500
ARYM	aɾim	⁠a⁠ereiɣɾjeɣaeme	ˈaɾim	aɾim	abbr	[]	3.250	0.250	0.000
ATE	ate	⁠a⁠te⁠e⁠	ˈate	ate	abbr	[]	1.667	0.333	0.000
AVE	abe	⁠a⁠uβe⁠e⁠	ˈaβe	abe	abbr	[]	2.333	0.667	0.000
Aarón	aaɾon	aaˈɾon	ˌaaɾˈon	aaɾon	compound	a|aró|n	0.200	0.400	0.000
Ababa	ababa	aβaβa	aβˈaβa	ababa	dict	[]	0.400	0.600	0.000
Abadiano	abadjano	aβaðjano	ˌaβaðjˈano	abadʝano	compound	abad|iano	0.250	0.500	0.125
Abadán	abadan	abaˈðan	ˌaβaðˈan	abadan	compound	ab|adán	0.333	0.667	0.000
Abadón	abadon	abaˈdon	ˌaβaðˈon	abadon	compound	[]	0.167	0.667	0.000
Abanto	abanto	aβanto	aβˈanto	abanto	dict	[]	0.167	0.333	0.000
Abarca	abaɾka	aβaɾka	aβˈaɾka	abaɾka	dict	[]	0.167	0.333	0.000
Abascal	abaskal	aβaskal	ˌaβaskˈal	abaskal	compound	abas|cal	0.143	0.429	0.000
Abdiel	abdjel	abdjel	abðjˈel	abdʝel	compound	abd|ie|l	0.000	0.333	0.167
Abdías	abdias	abˈdias	abðˈias	abdias	compound	ab|días	0.167	0.333	0.000
Abdón	abdon	abˈdon	abðˈon	abdon	compound	[]	0.200	0.400	0.000
Abeita	abeita	aβeita	aβˈeɪta	abeita	compound	abe|ita	0.167	0.500	0.000
Abel	abel	aβel	aβˈel	abel	compound	abe|l	0.250	0.500	0.000
Abelardo	abelaɾdo	aβelaɾðo	ˌaβelˈaɾðo	abelaɾdo	compound	abe|lardo	0.250	0.500	0.000
Abelito	abelito	aβelito	ˌaβelˈito	abelito	compound	abe|lito	0.143	0.429	0.000
Abellano	abeʝano	aβeʎano	ˌaβeʎˈano	abeʎano	compound	abe|llano	0.286	0.571	0.143
Abello	abeʝo	aβeiʝo	aβˈeʎo	abeʎo	compound	abe|llo	0.400	0.600	0.200
Abendaño	abendaɲo	aβendaɲo	ˌaβendˈaɲo	abendaɲo	compound	aben|daño	0.125	0.375	0.000
Abeyta	abeita	aβeita	aβˈeɪta	abeta	compound	abe|y|ta	0.167	0.500	0.167
Abigaíl	abiɡail	abiɡaˈil	ˌaβiɣaˈil	abigail	all_lang	[]	0.143	0.571	0.143
Abimael	abimael	abimael	ˌaβimaˈel	abimael	compound	ab|im|a|el	0.000	0.429	0.000
Abisinia	abisinja	aβisinja	ˌaβisˈinja	abisinʝa	dict	[]	0.125	0.375	0.125
Abiyán	abiʝan	abiˈʝan	ˌaβijjˈan	abʝʝan	compound	[]	0.167	0.833	0.167
Abjasia	abxasja	abxasja	aβxˈasja	abxasʝa	compound	ab|j|asia	0.000	0.286	0.143
Abner	abneɾ	abneɾ	abnˈeɾ	abneɾ	compound	ab|n|er	0.000	0.200	0.000
Aboitiz	aboitiθ	aboitiθ	ˌaβoɪtˈiθ	aboitiθ	dict	[]	0.000	0.571	0.000
Abonce	abonθe	abonθe	aβˈonθe	abonθe	compound	ab|once	0.000	0.333	0.000
Abraham	abɾaam	aβɾaam	aβɾˈaam	abɾaam	compound	abra|ha|m	0.167	0.333	0.000
Abrahán	abɾaan	abɾaˈan	ˌaβɾaˈan	abɾaan	all_lang	[]	0.167	0.500	0.000
Abram	abɾam	aβɾam	ˈaβɾam	abɾam	compound	abra|m	0.200	0.400	0.000
Abrego	abɾeɡo	aβɾeɡo	aβɾˈeɣo	abɾego	compound	abre|go	0.167	0.500	0.167
Abreo	abɾeo	aβɾeo	aβɾˈeo	abɾeo	compound	abre|o	0.200	0.400	0.000
Abrigo	abɾiɡo	aβɾiɣo	aβɾˈiɣo	abɾigo	dict	[]	0.333	0.500	0.167
Abruzos	abɾuθos	abruθos	aβɾˈuθos	abɾuθos	compound	ab|r|uzos	0.143	0.286	0.000
Absalón	absalon	absaˈlon	ˌaβsalˈon	absalon	compound	abs|alón	0.143	0.429	0.000
Abundio	abundjo	abundjo	aβˈundjo	abundʝo	compound	abu|ndi|o	0.000	0.286	0.143
Abuya	abuʝa	abuʝa	aβˈujja	abuʝa	compound	abu|ya	0.000	0.800	0.000
Abúndez	abundeθ	aˈbundeθ	aβˈundeθ	abundeθ	compound	[]	0.143	0.286	0.000
Acajutla	akaxutla	akaxutla	ˌakaxˈutla	akaxutla	compound	aca|ju|tla	0.000	0.250	0.000
Acandí	akandi	akanˈdi	ˌakandˈi	akandi	compound	aca|n|dí	0.167	0.333	0.000
Acapulco	akapulko	akapulko	ˌakapˈulko	akapulko	dict	[]	0.000	0.250	0.000
