al	/al/
as	/ˈas/
as	/-as/
ař	/ar̝/
ař	/ar̝̊/
cký	/-t͡skiː/
ctvo	/tstvo/
ctvo	/t͡stvɔ/
ctví	/-t͡stviː/
dlo	/dlo/
dlo	/dlɔ/
ický	/ɪtskiː/
ický	/ɪt͡skiː/
ina	/-ɪna/
ium	/ɪjum/
ium	/ɪjʊm/
ička	/ɪtʃka/
ička	/ɪt͡ʃka/
iště	/-ˈɪʃcɛ/
jedy	/jɛdɪ/
ka	/ka/
ka	/-ka/
krát	/kraːt/
li	/lɪ/
lis	/lɪs/
na	/na/
na	/nɑ/
né	/nɛː/
ní	/niː/
ní	/-niː/
o	/o/
o	/ɔ/
ol	/ol/
ol	/-ɔl/
ost	/ost/
ost	/ɔst/
ovec	/ovɛts/
ovec	/-ɔvɛt͡s/
ovi	/ɔvɪ/
ovi	/ˈʔɔvɪ/
ovka	/ofka/
ovka	/-ɔfka/
ovné	/ovnɛː/
ovné	/ɔvnɛː/
ovský	/ɔfskiː/
ová	/ˈʔɔva:/
oví	/-ɔvɪː/
plný	/plniː/
plný	/pl̩niː/
sko	/sko/
sko	/skɔ/
ský	/skiː/
stvo	/stvo/
stvo	/tstvo/
stvo	/stvɔ/
stvo	/t͡stvɔ/
ství	/stviː/
ství	/-stviː/
tel	/tɛl/
tel	/-tɛl/
telný	/tɛlniː/
tva	/-tva/
yl	/ɪl/
ák	/aːk/
ák	/-aːk/
át	/aːt/
ář	/aːr̝/
ář	/aːr̝̊/
ýr	/iːr/
ýr	/-iːr/
ýř	/-ˈiːr̝̊/
č	/tʃ/
č	/-t͡ʃ/
čka	/-t͡ʃka/
čtina	/tʃcɪna/
čtina	/t͡ʃcɪna/
ština	/ʃcɪna/
ův	/uːf/
102letá	/ˈstɔdvɔʊ̯lɛtaː/
102letý	/ˈstɔdvɔʊ̯lɛtiː/
10letý	/dɛsɛcɪlɛtiː/
116letá	/stɔʃɛstnaːt͡scɪlɛtaː/
116letý	/stɔʃɛstnaːt͡scɪlɛtiː/
12letého	/dvanaːt͡scɪlɛtɛːɦɔ/
12letý	/dvanaːt͡scɪlɛtiː/
12týdenní	/dvanaːt͡scɪtiːdɛɲiː/
12týdenním	/dvanaːt͡scɪtiːdɛɲiːm/
140kilometrový	/stɔt͡ʃtɪr̝ɪt͡sɛcɪkɪlɔmɛtrɔviː/
150členném	/stɔpadɛsaːcɪt͡ʃlɛnɛːm/
150členný	/stɔpadɛsaːcɪt͡ʃlɛniː/
15letého	/patnaːt͡scɪlɛtɛːɦɔ/
15letý	/patnaːt͡scɪlɛtiː/
15procentní	/patnaːt͡scɪprɔt͡sɛntɲiː/
16letá	/ʃɛstnaːt͡scɪletaː/
17letého	/sɛdm̩naːt͡scɪlɛtɛːɦɔ/
17letého	/sɛdʊmnaːt͡scɪlɛtɛːɦɔ/
17letý	/sɛdm̩naːt͡scɪlɛtiː/
17letý	/sɛdʊmnaːt͡scɪlɛtiː/
19letého	/dɛvatɛnaːt͡scɪlɛtɛːɦɔ/
19letý	/dɛvatɛnaːt͡scɪlɛtiː/
2020	/ˈdvacɪsiːt͡sɛˈdvat͡sɛt/
2020	/ˈdvat͡sɛˈdvat͡sɛt/
20letou	/dvat͡sɛcɪlɛtɔʊ̯/
20letý	/dvat͡sɛcɪlɛtiː/
20minutovém	/dvat͡sɛcɪmɪnʊtɔvɛːm/
20minutový	/dvat͡sɛcɪmɪnʊtɔviː/
21letého	/jɛdnadvat͡sɛcɪlɛtɛːɦɔ/
21letého	/jɛdɛnadvat͡sɛcɪlɛtɛːɦɔ/
21yardovou	/jɛdnadvat͡sɛcɪjardɔvɔʊ̯/
21yardový	/jɛdnadvat͡sɛcɪjardɔviː/
22letou	/dva.advat͡sɛcɪlɛtɔʊ̯/
22letý	/dva.advat͡sɛcɪlɛtiː/
23letého	/tr̝̊ɪadvat͡sɛcɪlɛtɛːɦɔ/
23letý	/tr̝̊ɪadvat͡sɛcɪlɛtiː/
240krát	/dvjɛscɛt͡ʃtɪr̝ɪt͡sɛtkraːt/
24hodinovou	/t͡ʃtɪr̝ɪadvat͡sɛcɪɦɔɟɪnɔvɔʊ̯/
24hodinový	/t͡ʃtɪr̝ɪadvat͡sɛcɪɦɔɟɪnɔviː/
24letá	/t͡ʃtɪr̝ɪadvat͡sɛcɪlɛtaː/
24letého	/t͡ʃtɪr̝ɪadvat͡sɛcɪlɛtɛːɦɔ/
24letý	/t͡ʃtɪr̝ɪadvat͡sɛcɪlɛtiː/
250mililitrový	/dvjɛscɛpadɛsaːcɪmɪlɪlɪtrɔviː/
25měsíční	/pjɛtadvat͡sɛcɪmɲɛsiːt͡ʃɲiː/
25procentní	/dvat͡sɛcɪpjɛcɪprɔt͡sɛntɲiː/
25procentní	/pjɛtadvat͡sɛcɪprɔt͡sɛntɲiː/
26letý	/ʃɛstadvat͡sɛcɪlɛtiː/
26členná	/ʃɛstadvat͡sɛcɪt͡ʃlɛnaː/
26členný	/ʃɛstadvat͡sɛcɪt͡ʃlɛniː/
27letou	/sɛdmadvat͡sɛcɪlɛtɔʊ̯/
27letou	/sɛdʊmadvat͡sɛcɪlɛtɔʊ̯/
27letá	/sɛdmadvat͡sɛcɪlɛtaː/
27letá	/sɛdʊmadvat͡sɛcɪlɛtaː/
27letý	/sɛdmadvat͡sɛcɪlɛtiː/
27letý	/sɛdʊmadvat͡sɛcɪlɛtiː/
28letou	/ɔsmadvat͡sɛcɪlɛtɔʊ̯/
28letý	/ɔsmadvat͡sɛcɪlɛtiː/
29letá	/dɛvjɛtadvat͡sɛcɪlɛtaː/
29letého	/dɛvjɛtadvat͡sɛcɪlɛtɛːɦɔ/
29letý	/dɛvjɛtadvat͡sɛcɪlɛtiː/
30denní	/tr̝̊ɪt͡sɛcɪdɛɲiː/
30denním	/tr̝̊ɪt͡sɛcɪdɛɲiːm/
30letý	/tr̝̊ɪt͡sɛcɪlɛtiː/
30minutová	/tr̝̊ɪt͡sɛcɪmɪnʊtɔvaː/
30minutový	/tr̝̊ɪt͡sɛcɪmɪnʊtɔviː/
30procentní	/tr̝̊ɪt͡sɛcɪprɔt͡sɛntɲiː/
30procentnímu	/tr̝̊ɪt͡sɛcɪprɔt͡sɛntɲiːmʊ/
31procentní	/jɛdnatr̝̊ɪt͡sɛcɪprɔt͡sɛntɲiː/
31procentní	/jɛdɛnatr̝̊ɪt͡sɛcɪprɔt͡sɛntɲiː/
33letá	/tr̝̊ɪatr̝̊ɪt͡sɛcɪlɛtaː/
33letý	/tr̝̊ɪatr̝̊ɪt͡sɛcɪlɛtiː/
35hodinovému	/pjɛtatr̝̊ɪt͡sɛcɪɦɔɟɪnɔvɛːmʊ/
35hodinový	/pjɛtatr̝̊ɪt͡sɛcɪɦɔɟɪnɔviː/
35letém	/pjɛtatr̝̊ɪt͡sɛcɪlɛtɛːm/
35letý	/pjɛtatr̝̊ɪt͡sɛcɪlɛtiː/
35milimetrový	/pjɛtatr̝̊ɪt͡sɛcɪmɪlɪmɛtrɔviː/
36letý	/ʃɛstatr̝̊ɪt͡sɛcɪlɛtiː/
37letá	/sɛdmatr̝̊ɪt͡sɛcɪlɛtaː/
37letý	/sɛdmatr̝̊ɪt͡sɛcɪlɛtiː/
38letou	/ɔsmatr̝̊ɪt͡sɛcɪlɛtɔʊ̯/
38letý	/ɔsmatr̝̊ɪt͡sɛcɪlɛtiː/
39letého	/dɛvjɛtatr̝̊ɪt͡sɛcɪlɛtɛːɦɔ/
39letý	/dɛvjɛtatr̝̊ɪt͡sɛcɪlɛtiː/
42letá	/dva.at͡ʃtɪr̝ɪt͡sɛcɪlɛtaː/
42letý	/dva.at͡ʃtɪr̝ɪt͡sɛcɪlɛtiː/
42procentní	/dvaat͡ʃtɪr̝ɪt͡sɛcɪprɔt͡sɛntɲiː/
42procentního	/dvaat͡ʃtɪr̝ɪt͡sɛcɪprɔt͡sɛntɲiːɦɔ/
43kilowattovou	/tr̝̊ɪat͡ʃtɪr̝ɪt͡sɛcɪkɪlɔvatɔvɔʊ̯/
43kilowattový	/tr̝̊ɪat͡ʃtɪr̝ɪt͡sɛcɪkɪlɔvatɔviː/
44procentní	/t͡ʃtɪr̝ɪat͡ʃtɪr̝ɪt͡sɛcɪprɔt͡sɛntɲiː/
48letou	/ʔɔsmat͡ʃtɪr̝ɪt͡sɛcɪlɛtɔʊ̯/
